,url,sentence,title,body,arbitration
0,https://stackoverflow.com/questions/4350084,byte[] to file in Java,byte[] to file in Java,"With Java: I have a byte[] that represents a file. How do I write this to a file (ie. C:\myfile.pdf) I know it's done with InputStream, but I can't seem to work it out.",no
1,https://stackoverflow.com/questions/13488419,Does anyone know what I'm doing wrong?,Unable to create Android Virtual Device," For some reason, the OK button is not clickable when I try to create an AVD. Does anyone know what I'm doing wrong?",no
2,https://stackoverflow.com/questions/2056221,How do I recursively list all files under a directory in Java?,Recursively list files in Java,How do I recursively list all files under a directory in Java? Does the framework provide any utility? I saw a lot of hacky implementations. But none from the framework or nio .,no
3,https://stackoverflow.com/questions/23218874,What is difference between Collection.stream().forEach() and Collection.forEach()?,What is difference between Collection.stream().forEach() and Collection.forEach()?,"I understand that with .stream(), I can use chain operations like .filter() or use parallel stream. But what is difference between them if I need to execute small operations (for example, printing the elements of the list)? -CODE- .",yes
4,https://stackoverflow.com/questions/23218874,"I understand that with .stream(), I can use chain operations like .filter() or use parallel stream.",What is difference between Collection.stream().forEach() and Collection.forEach()?,"I understand that with .stream(), I can use chain operations like .filter() or use parallel stream. But what is difference between them if I need to execute small operations (for example, printing the elements of the list)? -CODE- .",no
5,https://stackoverflow.com/questions/10097199,Could someone tell me the difference between javadoc @see and {@link}?,Javadoc @see or {@link}?,"Could someone tell me the difference between javadoc @see and {@link}? Or rather, when to use which of them?",no
6,https://stackoverflow.com/questions/2190161,Difference between java.lang.RuntimeException and java.lang.Exception,Difference between java.lang.RuntimeException and java.lang.Exception,Someone please explain the difference between java.lang.RuntimeException and java.lang.Exception? How do I decide which one to extend if I create my own exception?,yes
7,https://stackoverflow.com/questions/2190161,Someone please explain the difference between java.lang.RuntimeException and java.lang.Exception?,Difference between java.lang.RuntimeException and java.lang.Exception,Someone please explain the difference between java.lang.RuntimeException and java.lang.Exception? How do I decide which one to extend if I create my own exception?,yes
8,https://stackoverflow.com/questions/13772827,Difference between Static and final?,Difference between Static and final?,I'm always confused between static and final keywords in java. How are they different ?,no
9,https://stackoverflow.com/questions/13772827,I'm always confused between static and final keywords in java.,Difference between Static and final?,I'm always confused between static and final keywords in java. How are they different ?,no
