,url,sentence,title,body,arbitration
0,https://stackoverflow.com/questions/8819842,Best way to Format a Double value to 2 Decimal places,Best way to Format a Double value to 2 Decimal places," -CODE- . I am dealing with lot of double values in my application, is there is any easy way to handle the formatting of decimal values in Java? Is there any other better way of doing it than : -CODE- . What i want to do basically is format double values like : -CODE- .",no
1,https://stackoverflow.com/questions/8819842,-CODE- .,Best way to Format a Double value to 2 Decimal places," -CODE- . I am dealing with lot of double values in my application, is there is any easy way to handle the formatting of decimal values in Java? Is there any other better way of doing it than : -CODE- . What i want to do basically is format double values like : -CODE- .",no
2,https://stackoverflow.com/questions/8819842,"I am dealing with lot of double values in my application, is there is any easy way to handle the formatting of decimal values in Java?",Best way to Format a Double value to 2 Decimal places," -CODE- . I am dealing with lot of double values in my application, is there is any easy way to handle the formatting of decimal values in Java? Is there any other better way of doing it than : -CODE- . What i want to do basically is format double values like : -CODE- .",no
3,https://stackoverflow.com/questions/8819842,Is there any other better way of doing it than : -CODE- .,Best way to Format a Double value to 2 Decimal places," -CODE- . I am dealing with lot of double values in my application, is there is any easy way to handle the formatting of decimal values in Java? Is there any other better way of doing it than : -CODE- . What i want to do basically is format double values like : -CODE- .",yes
4,https://stackoverflow.com/questions/8819842,What i want to do basically is format double values like : -CODE- .,Best way to Format a Double value to 2 Decimal places," -CODE- . I am dealing with lot of double values in my application, is there is any easy way to handle the formatting of decimal values in Java? Is there any other better way of doing it than : -CODE- . What i want to do basically is format double values like : -CODE- .",no
5,https://stackoverflow.com/questions/15815587,Best way to convert list to comma separated string in java,Best way to convert list to comma separated string in java,"I have Set<String> result & would like to convert it to comma separated string. My approach would be as shown below, but looking for other opinion as well. -CODE- .",no
6,https://stackoverflow.com/questions/15815587,I have Set<String> result & would like to convert it to comma separated string.,Best way to convert list to comma separated string in java,"I have Set<String> result & would like to convert it to comma separated string. My approach would be as shown below, but looking for other opinion as well. -CODE- .",no
7,https://stackoverflow.com/questions/15815587,"My approach would be as shown below, but looking for other opinion as well. -CODE- .",Best way to convert list to comma separated string in java,"I have Set<String> result & would like to convert it to comma separated string. My approach would be as shown below, but looking for other opinion as well. -CODE- .",yes
8,https://stackoverflow.com/questions/12026885,Is there a common Java utility to break a list into batches?,Is there a common Java utility to break a list into batches?,I wrote myself a utility to break a list into batches of given size. I just wanted to know if there is already any apache commons util for this. -CODE- . Please let me know if there any existing utility already for the same.,no
9,https://stackoverflow.com/questions/12026885,I wrote myself a utility to break a list into batches of given size.,Is there a common Java utility to break a list into batches?,I wrote myself a utility to break a list into batches of given size. I just wanted to know if there is already any apache commons util for this. -CODE- . Please let me know if there any existing utility already for the same.,no
10,https://stackoverflow.com/questions/12026885,I just wanted to know if there is already any apache commons util for this.,Is there a common Java utility to break a list into batches?,I wrote myself a utility to break a list into batches of given size. I just wanted to know if there is already any apache commons util for this. -CODE- . Please let me know if there any existing utility already for the same.,no
11,https://stackoverflow.com/questions/12026885,-CODE- .,Is there a common Java utility to break a list into batches?,I wrote myself a utility to break a list into batches of given size. I just wanted to know if there is already any apache commons util for this. -CODE- . Please let me know if there any existing utility already for the same.,yes
12,https://stackoverflow.com/questions/12026885,Please let me know if there any existing utility already for the same.,Is there a common Java utility to break a list into batches?,I wrote myself a utility to break a list into batches of given size. I just wanted to know if there is already any apache commons util for this. -CODE- . Please let me know if there any existing utility already for the same.,no
13,https://stackoverflow.com/questions/678630,How do I make an http request using cookies on Android?,How do I make an http request using cookies on Android?,"I'd like to make an http request to a remote server while properly handling cookies (eg. storing cookies sent by the server, and sending those cookies when I make subsequent requests). It'd be nice to preserve any and all cookies, but really the only one I care about is the session cookie. With java.net, it appears that the preferred way to do this is using java.net.CookieHandler (abstract base class) and java.net.CookieManager (concrete implementation). Android has java.net.CookieHandler, but it does not seem to have java.net.CookieManager. I could code it all by hand by inspecting http headers, but it seems like there must be an easier way. What is the proper way to make http requests on Android while preserving cookies?",no
